"x"
"Argentina"	"demoinst"
"Australia"	"demostab"
"Austria"	"demoinst"
"Belgium"	"demostab"
"Bolivia"	"dictator"
"Brasil"	"demoinst"
"Canada"	"demostab"
"Chile"	"demoinst"
"Colombia"	"demoinst"
"CostaRica"	"demoinst"
"Cuba"	"dictator"
"Denmark"	"demostab"
"DominicanRepublic"	"dictator"
"Ecuador"	"dictator"
"Egypt"	"dictator"
"Salvador"	"dictator"
"Finland"	"demoinst"
"France"	"demoinst"
"Guatemala"	"dictator"
"Greece"	"demoinst"
"Honduras"	"dictator"
"India"	"demostab"
"Irak"	"dictator"
"Irland"	"demostab"
"Italy"	"demoinst"
"Japan"	"demoinst"
"Libia"	"dictator"
"Luxemburg"	"demostab"
"TheNetherlands"	"demostab"
"NewZealand"	"demostab"
"Nicaragua"	"dictator"
"Norway"	"demostab"
"Panama"	"dictator"
"Peru"	"dictator"
"Philippine"	"dictator"
"Poland"	"dictator"
"SouthVietnam"	"dictator"
"Spain"	"dictator"
"Sweden"	"demostab"
"Switzerland"	"demostab"
"Taiwan"	"dictator"
"UK"	"demostab"
"USA"	"demostab"
"Uruguay"	"demostab"
"Venezuela"	"dictator"
"WestGermany"	"demoinst"
"Yugoslavia"	"dictator"
